strain,protein,EBC_ID,AD_best_rank,AF_best_rank,AD_n_halogen_bond,AF_n_halogen_bond,AD_n_hbond,AF_n_hbond,AD_n_hydrophobic,AF_n_hydrophobic,AD_n_metal_complex,AF_n_metal_complex,AD_n_pi_cation,AF_n_pi_cation,AD_n_pi_stack,AF_n_pi_stack,AD_n_salt_bridge,AF_n_salt_bridge,AD_n_water_bridge,AF_n_water_bridge,AD_total_interactions,AF_total_interactions,AD_minus_AF_total_interactions,AD_minus_AF_n_hydrophobic,AD_minus_AF_n_hbond,AD_minus_AF_n_water_bridge,AD_minus_AF_n_salt_bridge,AD_minus_AF_n_pi_stack,AD_minus_AF_n_pi_cation,AD_minus_AF_n_halogen_bond,AD_minus_AF_n_metal_complex
congo,OPG027,EBC-00606,,27.0,,0.0,,2.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,-5.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-00645,20.0,,10.0,,51.0,,76.0,,0.0,,0.0,,1.0,,9.0,,0.0,,147.0,,147.0,76.0,51.0,0.0,9.0,1.0,0.0,10.0,0.0
congo,OPG027,EBC-00649,16.0,,12.0,,59.0,,90.0,,0.0,,0.0,,3.0,,7.0,,0.0,,171.0,,171.0,90.0,59.0,0.0,7.0,3.0,0.0,12.0,0.0
congo,OPG027,EBC-00662,,41.0,,0.0,,2.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,-5.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-00694,83.0,,6.0,,71.0,,128.0,,0.0,,1.0,,2.0,,22.0,,0.0,,230.0,,230.0,128.0,71.0,0.0,22.0,2.0,1.0,6.0,0.0
congo,OPG027,EBC-00696,91.0,,2.0,,46.0,,136.0,,0.0,,0.0,,6.0,,3.0,,0.0,,193.0,,193.0,136.0,46.0,0.0,3.0,6.0,0.0,2.0,0.0
congo,OPG027,EBC-00698,,59.0,,0.0,,3.0,,3.0,,0.0,,0.0,,2.0,,0.0,,0.0,,8.0,-8.0,-3.0,-3.0,0.0,0.0,-2.0,0.0,0.0,0.0
congo,OPG027,EBC-00703,,94.0,,0.0,,2.0,,3.0,,0.0,,0.0,,0.0,,1.0,,0.0,,6.0,-6.0,-3.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-00711,18.0,,0.0,,21.0,,126.0,,0.0,,0.0,,0.0,,8.0,,0.0,,155.0,,155.0,126.0,21.0,0.0,8.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-00713,,68.0,,0.0,,2.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,-5.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-02079,74.0,,0.0,,65.0,,81.0,,0.0,,1.0,,1.0,,13.0,,0.0,,161.0,,161.0,81.0,65.0,0.0,13.0,1.0,1.0,0.0,0.0
congo,OPG027,EBC-03035,,88.0,,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03068,,18.0,,0.0,,1.0,,4.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,-5.0,-4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03080,,1.0,,0.0,,2.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03107,,46.0,,0.0,,1.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03137,,34.0,,0.0,,1.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG027,EBC-03141,,75.0,,0.0,,2.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,-5.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
