method,strain,protein,EBC_ID,best_rank,n_complexes,total_interactions,n_hydrophobic,n_hbond,n_water_bridge,n_salt_bridge,n_pi_stack,n_pi_cation,n_halogen_bond,n_metal_complex
AD,congo,OPG027,EBC-00645,20,1,147,76,51,0,9,1,0,10,0
AD,congo,OPG027,EBC-00649,16,1,171,90,59,0,7,3,0,12,0
AD,congo,OPG027,EBC-00694,83,1,230,128,71,0,22,2,1,6,0
AD,congo,OPG027,EBC-00696,91,1,193,136,46,0,3,6,0,2,0
AD,congo,OPG027,EBC-00711,18,1,155,126,21,0,8,0,0,0,0
AD,congo,OPG027,EBC-02079,74,1,161,81,65,0,13,1,1,0,0
AD,congo,OPG027,EBC-03838,12,1,158,133,24,0,1,0,0,0,0
AD,congo,OPG027,EBC-03839,86,1,155,95,58,0,2,0,0,0,0
AD,congo,OPG027,EBC-03852,49,1,142,106,34,0,0,2,0,0,0
AD,congo,OPG027,EBC-03865,15,1,170,141,27,0,1,0,1,0,0
AD,congo,OPG027,EBC-04248,82,1,231,159,69,0,1,2,0,0,0
AD,congo,OPG027,EBC-06062,68,1,189,117,62,0,9,1,0,0,0
AD,congo,OPG027,EBC-06111,11,1,167,135,32,0,0,0,0,0,0
AD,congo,OPG027,EBC-06903,63,1,218,132,73,0,12,1,0,0,0
AD,congo,OPG027,EBC-07157,88,1,159,70,59,0,28,0,2,0,0
AD,congo,OPG027,EBC-07249,54,1,141,95,38,0,2,5,1,0,0
AD,congo,OPG027,EBC-07462,32,1,192,117,63,0,8,2,2,0,0
AD,congo,OPG027,EBC-07557,50,1,194,113,66,0,9,5,1,0,0
AD,congo,OPG027,EBC-07670,100,1,173,116,55,0,0,1,1,0,0
AD,congo,OPG027,EBC-07683,84,1,203,148,39,0,11,5,0,0,0
AD,congo,OPG027,EBC-07973,96,1,203,108,72,0,11,0,0,12,0
AD,congo,OPG027,EBC-07988,28,1,275,151,89,0,28,3,2,2,0
AD,congo,OPG027,EBC-08587,41,1,118,85,33,0,0,0,0,0,0
AD,congo,OPG027,EBC-08615,35,1,231,106,105,0,20,0,0,0,0
AD,congo,OPG027,EBC-08788,71,1,194,128,56,0,7,2,1,0,0
AD,congo,OPG027,EBC-08908,61,1,230,120,98,0,10,0,0,2,0
AD,congo,OPG027,EBC-08915,19,1,202,144,47,0,9,0,2,0,0
AD,congo,OPG027,EBC-09085,89,1,192,111,69,0,9,3,0,0,0
AD,congo,OPG027,EBC-09186,46,1,155,75,71,0,5,4,0,0,0
AD,congo,OPG027,EBC-09202,29,1,206,111,75,0,17,1,0,2,0
AD,congo,OPG027,EBC-108081,60,1,253,72,134,0,42,3,0,2,0
AD,congo,OPG027,EBC-11029,42,1,265,127,99,0,35,3,1,0,0
AD,congo,OPG027,EBC-11041,47,1,163,89,71,0,3,0,0,0,0
AD,congo,OPG027,EBC-11230,23,1,242,135,88,0,18,1,0,0,0
AD,congo,OPG027,EBC-11281,30,1,161,82,42,0,12,0,0,25,0
AD,congo,OPG027,EBC-11364,36,1,209,72,90,0,31,1,2,13,0
AD,congo,OPG027,EBC-11433,31,1,203,84,96,0,9,0,0,14,0
AD,congo,OPG027,EBC-11443,43,1,176,91,58,0,10,3,1,13,0
AD,congo,OPG027,EBC-118033,80,1,180,90,72,0,13,0,0,5,0
AD,congo,OPG027,EBC-12036,78,1,218,124,72,0,18,3,1,0,0
AD,congo,OPG027,EBC-12063,90,1,197,50,114,0,28,4,1,0,0
AD,congo,OPG027,EBC-12084,75,1,220,104,91,0,14,1,0,10,0
AD,congo,OPG027,EBC-12412,24,1,259,147,105,0,7,0,0,0,0
AD,congo,OPG027,EBC-12821,70,1,225,78,115,0,27,3,2,0,0
AD,congo,OPG027,EBC-13002,62,1,198,94,78,0,19,0,1,6,0
AD,congo,OPG027,EBC-13071,39,1,201,142,59,0,0,0,0,0,0
AD,congo,OPG027,EBC-131022,59,1,207,98,76,0,16,1,0,16,0
AD,congo,OPG027,EBC-13120,27,1,211,110,68,0,25,7,1,0,0
AD,congo,OPG027,EBC-13579,51,1,185,82,94,0,9,0,0,0,0
AD,congo,OPG027,EBC-13607,8,1,290,166,105,0,14,0,5,0,0
AD,congo,OPG027,EBC-14214,98,1,223,161,50,0,5,3,1,3,0
AD,congo,OPG027,EBC-145226,6,1,218,119,87,0,10,2,0,0,0
